date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_deaths,new_recovered
2020-05-27,South Sudan,806.0,63.0,6.0,8.0,0.0,0.0,0.0,0.0
2020-05-27,Uruguay,789.0,224.0,638.0,22.0,2.0,0.0,0.0,9.0
2020-05-27,Nepal,772.0,26.0,151.0,4.0,90.0,3.0,0.0,39.0
2020-05-27,Andorra,763.0,9840.0,663.0,51.0,0.0,0.0,0.0,0.0
2020-05-27,Nicaragua,759.0,117.0,370.0,35.0,480.0,74.0,18.0,171.0
2020-05-27,Sierra Leone,754.0,95.0,297.0,44.0,19.0,2.0,2.0,4.0
2020-05-27,Georgia,732.0,197.0,537.0,12.0,1.0,1.0,0.0,11.0
2020-05-27,Jordan,718.0,67.0,488.0,9.0,7.0,0.0,0.0,9.0
2020-05-27,Ethiopia,701.0,7.0,167.0,6.0,46.0,0.0,1.0,8.0
2020-05-27,Chad,700.0,43.0,303.0,62.0,13.0,1.0,1.0,59.0
2020-05-27,Central African Republic,671.0,122.0,22.0,1.0,19.0,3.0,0.0,0.0
2020-05-27,San Marino,666.0,19837.0,275.0,42.0,0.0,0.0,0.0,5.0
2020-05-27,Malta,611.0,1238.0,485.0,6.0,0.0,0.0,0.0,0.0
2020-05-27,Madagascar,586.0,22.0,147.0,2.0,44.0,1.0,0.0,0.0
2020-05-27,Jamaica,556.0,204.0,238.0,9.0,4.0,2.0,0.0,27.0
2020-05-27,Tanzania,509.0,9.0,183.0,21.0,0.0,0.0,0.0,0.0
2020-05-27,Republic of the Congo,487.0,88.0,147.0,16.0,0.0,0.0,0.0,-1200.0
2020-05-27,Taiwan,441.0,19.0,416.0,7.0,0.0,0.0,0.0,1.0
2020-05-27,Palestine,429.0,86.0,365.0,3.0,6.0,1.0,0.0,8.0
2020-05-27,Togo,391.0,52.0,177.0,13.0,5.0,1.0,0.0,16.0
2020-05-27,Cape Verde,390.0,708.0,155.0,4.0,0.0,0.0,1.0,0.0
2020-05-27,Rwanda,369.0,30.0,244.0,0.0,42.0,4.0,0.0,7.0
2020-05-27,Isle of Man,336.0,4033.0,306.0,24.0,0.0,0.0,0.0,1.0
2020-05-27,Mauritius,334.0,264.0,322.0,10.0,0.0,0.0,0.0,0.0
2020-05-27,Vietnam,327.0,3.0,272.0,0.0,1.0,0.0,0.0,0.0
2020-05-27,Montenegro,324.0,521.0,315.0,9.0,0.0,0.0,0.0,0.0
2020-05-27,Jersey,307.0,2875.0,280.0,29.0,0.0,0.0,0.0,0.0
2020-05-27,French Guiana,279.0,978.0,,1.0,0.0,0.0,0.0,
2020-05-27,Mauritania,268.0,66.0,15.0,13.0,6.0,2.0,4.0,0.0
2020-05-27,Liberia,266.0,59.0,144.0,26.0,1.0,0.0,0.0,3.0
2020-05-27,Eswatini,261.0,239.0,164.0,2.0,5.0,5.0,0.0,6.0
2020-05-27,Uganda,253.0,6.0,69.0,0.0,41.0,1.0,0.0,1.0
2020-05-27,Guernsey,252.0,4013.0,237.0,13.0,,,,
2020-05-27,Yemen,249.0,8.0,10.0,49.0,16.0,0.0,5.0,0.0
2020-05-27,Mozambique,213.0,7.0,71.0,1.0,4.0,0.0,0.0,0.0
2020-05-27,Benin,208.0,18.0,118.0,3.0,17.0,2.0,0.0,34.0
2020-05-27,Myanmar (Burma),206.0,4.0,124.0,6.0,3.0,0.0,0.0,1.0
2020-05-27,Martinique,197.0,508.0,,14.0,0.0,0.0,0.0,
2020-05-27,Faroe Islands,187.0,3588.0,187.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,São Tomé and Príncipe,174.0,862.0,,9.0,0.0,0.0,0.0,
2020-05-27,Guadeloupe,156.0,384.0,,13.0,0.0,0.0,0.0,
2020-05-27,Gibraltar,154.0,4570.0,147.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Brunei,141.0,319.0,137.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Mongolia,141.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Bermuda,139.0,2171.0,91.0,9.0,6.0,94.0,0.0,2.0
2020-05-27,Guyana,139.0,178.0,62.0,11.0,2.0,3.0,0.0,0.0
2020-05-27,Cayman Islands,137.0,2082.0,63.0,1.0,3.0,46.0,0.0,2.0
2020-05-27,Cambodia,124.0,8.0,122.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Syria,121.0,7.0,41.0,4.0,15.0,1.0,0.0,0.0
2020-05-27,Trinidad and Tobago,116.0,85.0,,8.0,0.0,0.0,0.0,
2020-05-27,Northern Cyprus,108.0,331.0,104.0,4.0,0.0,0.0,0.0,0.0
2020-05-27,Malawi,101.0,5.0,37.0,4.0,0.0,0.0,0.0,0.0
2020-05-27,Aruba,101.0,899.0,95.0,3.0,0.0,0.0,0.0,0.0
2020-05-27,The Bahamas,100.0,260.0,46.0,11.0,0.0,0.0,0.0,0.0
2020-05-27,Monaco,98.0,2559.0,90.0,4.0,0.0,0.0,0.0,0.0
2020-05-27,Barbados,92.0,321.0,70.0,7.0,0.0,0.0,0.0,0.0
2020-05-27,Liechtenstein,82.0,2116.0,55.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Sint Maarten,77.0,1896.0,59.0,15.0,0.0,0.0,0.0,0.0
2020-05-27,Libya,77.0,11.0,40.0,3.0,2.0,0.0,0.0,1.0
2020-05-27,Angola,70.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0
2020-05-27,French Polynesia,60.0,217.0,60.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Zimbabwe,56.0,4.0,25.0,4.0,0.0,0.0,0.0,0.0
2020-05-27,Macao,45.0,66.0,45.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Burundi,42.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Eritrea,39.0,11.0,39.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Saint Martin,39.0,1091.0,,3.0,0.0,0.0,0.0,
2020-05-27,Botswana,35.0,15.0,20.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Bhutan,27.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,The Gambia,25.0,11.0,13.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Antigua and Barbuda,25.0,259.0,,3.0,0.0,0.0,0.0,
2020-05-27,Timor-Leste,24.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Grenada,23.0,205.0,18.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Namibia,21.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Laos,19.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Belize,18.0,44.0,16.0,2.0,0.0,0.0,0.0,0.0
2020-05-27,Fiji,18.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,New Caledonia,18.0,64.0,18.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Saint Lucia,18.0,101.0,18.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Saint Vincent and the Grenadines,18.0,163.0,,0.0,0.0,0.0,0.0,
2020-05-27,Curaçao,18.0,113.0,14.0,1.0,0.0,0.0,0.0,0.0
2020-05-27,Dominica,16.0,223.0,16.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Saint Kitts and Nevis,15.0,284.0,,0.0,0.0,0.0,0.0,
2020-05-27,Falkland Islands (Islas Malvinas),13.0,,13.0,0.0,0.0,,0.0,0.0
2020-05-27,Greenland,12.0,214.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,Vatican City,12.0,,2.0,0.0,0.0,,0.0,0.0
2020-05-27,Åland Islands,11.0,368.0,,,0.0,0.0,,
