LastUpdate,CountryCode,Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
02/10/2020,CN,China,40235,909,0,2984,97,0
02/10/2020,FI,Finland,1,0,0,0,0,0
02/10/2020,FR,France,11,0,0,0,0,0
02/10/2020,DE,Germany,14,0,0,0,0,0
02/10/2020,IN,India,3,0,0,0,0,0
02/10/2020,Ship,Inter0tio0l conveyance (Japan),70,0,0,6,0,0
02/10/2020,IT,Italy,3,0,0,0,0,0
02/10/2020,JP,Japan,26,0,0,0,0,0
02/10/2020,MY,Malaysia,18,0,0,1,0,0
02/10/2020,NP,Nepal,1,0,0,0,0,0
02/10/2020,PH,Philippines,3,1,0,0,0,0
02/10/2020,KR,Republic of Korea,27,0,0,0,0,0
02/10/2020,RU,Russian Federation,2,0,0,0,0,0
02/10/2020,SG,Singapore,43,0,0,3,0,0
02/10/2020,ES,Spain,2,0,0,1,0,0
02/10/2020,LK,Sri Lanka,1,0,0,0,0,0
02/10/2020,SE,Sweden,1,0,0,0,0,0
02/10/2020,TH,Thailand,32,0,0,0,0,0
02/10/2020,GB,The United Kingdom,4,0,0,1,0,0
02/10/2020,AE,United Arab Emirates,7,0,0,0,0,0
02/10/2020,US,United States of America,12,0,0,0,0,0
02/10/2020,VN,Viet0m,14,0,0,0,0,0
02/11/2020,AU,Australia,15,0,0,0,0,0
02/11/2020,BE,Belgium,1,0,0,0,0,0
02/11/2020,KH,Cambodia,1,0,0,0,0,0
02/11/2020,CA,Ca0da,7,0,0,0,0,0
02/11/2020,CN,China,42708,1017,0,2473,108,0
02/11/2020,FI,Finland,1,0,0,0,0,0
02/11/2020,FR,France,11,0,0,0,0,0
02/11/2020,DE,Germany,14,0,0,0,0,0
02/11/2020,IN,India,3,0,0,0,0,0
02/11/2020,Ship,Inter0tio0l conveyance (Japan),135,0,0,65,0,0
02/11/2020,IT,Italy,3,0,0,0,0,0
02/11/2020,JP,Japan,26,0,0,0,0,0
02/11/2020,MY,Malaysia,18,0,0,0,0,0
02/11/2020,NP,Nepal,1,0,0,0,0,0
02/11/2020,PH,Philippines,3,1,0,0,0,0
02/11/2020,KR,Republic of Korea,28,0,0,1,0,0
